"strain","ST","meropenem_MIC","meropenem.RSI.","Country","Latitude","Longitude","Year","Month","Day","meropenem_MIC_clean"
"ERR1204814","ST11","8","I","Austria",47.0793187,15.4654229,2014,4,14,8
"ERR1204815","ST11","0.12","S","Austria",47.8071049,13.0309639,2014,4,2,0.12
"ERR1204817","ST11","8","I","Austria",47.0793187,15.4654229,2014,1,26,8
"ERR1204820","ST1243","2","S","Austria",48.2990118,14.2892049,2014,1,10,2
"ERR1204821","ST512",">32","R","Austria",47.0793187,15.4654229,2013,11,21,48
"ERR1204822","ST512",">32","R","Austria",47.2301548,9.5808176,2014,1,27,48
"ERR1204823","ST294","≤0.06","S","Austria",47.2301548,9.5808176,2013,11,5,0.06
"ERR1204824","ST12","≤0.06","S","Austria",48.2990118,14.2892049,2014,1,20,0.06
"ERR1204825","ST323","≤0.06","S","Austria",48.2990118,14.2892049,2014,2,24,0.06
"ERR1204826","ST258","16","R","Austria",47.2301548,9.5808176,2014,2,20,16
"ERR1204827","ST11",">32","R","Austria",48.2255317,16.3458152,2014,3,27,48
"ERR1204828","ST37","≤0.06","S","Austria",48.2255317,16.3458152,2014,3,28,0.06
"ERR1204829","ST258",">32","R","Austria",48.2255317,16.3458152,2014,1,22,48
"ERR1204830","ST11","≤0.06","S","Austria",48.2255317,16.3458152,2013,11,5,0.06
"ERR1204831","ST17","≤0.06","S","Estonia",59.41689,24.73816,2014,3,24,0.06
"ERR1204832","ST11","0.5","S","Estonia",59.41689,24.73816,2013,12,26,0.5
"ERR1204834","ST104","≤0.06","S","Estonia",59.41689,24.73816,2013,12,24,0.06
"ERR1204835","ST395","4","I","Estonia",59.41689,24.73816,2014,3,7,4
"ERR1204836","ST17","0.25","S","Estonia",59.41689,24.73816,2014,3,10,0.25
"ERR1204837","ST995","≤0.06","S","Estonia",59.41689,24.73816,2014,3,10,0.06
"ERR1204839","ST17","≤0.06","S","Estonia",59.41689,24.73816,2014,4,14,0.06
"ERR1204840","ST113","≤0.06","S","Estonia",59.41689,24.73816,2013,11,19,0.06
"ERR1204842","ST11","≤0.06","S","Poland",51.142,17.0661,2014,3,10,0.06
"ERR1204843","ST37","≤0.06","S","Poland",51.142,17.0661,2014,3,6,0.06
"ERR1204844","ST25","≤0.06","S","Poland",51.142,17.0661,2014,3,13,0.06
"ERR1204845","ST11","1","S","Poland",51.142,17.0661,2014,2,7,1
"ERR1204846","ST11","≤0.06","S","Poland",54.1195,22.9254,2013,12,13,0.06
"ERR1204847","ST11","0.12","S","Poland",54.1195,22.9254,2014,1,2,0.12
"ERR1204848","ST1801","≤0.06","S","Poland",54.1195,22.9254,2013,11,19,0.06
"ERR1204849","ST42","≤0.06","S","Poland",50.0353,22.0347,2013,12,17,0.06
"ERR1204850","ST2447","≤0.06","S","Poland",54.3659,18.6215,2014,1,14,0.06
"ERR1204851","ST258","4","I","Poland",53.12,23.16,2013,11,27,4
"ERR1204852","ST11","0.12","S","Poland",53.12,23.16,2013,12,5,0.12
"ERR1204854","ST11","0.12","S","Poland",53.45,14.5,2014,1,25,0.12
"ERR1204855","ST11","0.12","S","Poland",53.12,23.16,2013,12,24,0.12
"ERR1204856","ST11","0.5","S","Poland",53.12,23.16,2014,1,5,0.5
"ERR1204857","ST11","≤0.06","S","Poland",52.1952,18.2393,2014,3,15,0.06
"ERR1204858","ST11","≤0.06","S","Poland",52.1952,18.2393,2014,3,19,0.06
"ERR1204859","ST11","2","S","Poland",53.45,14.5,2014,1,17,2
"ERR1204860","ST15","≤0.06","S","Poland",53.12,23.16,2014,1,1,0.06
"ERR1204861","ST113","≤0.06","S","Poland",53.12,23.16,2014,1,12,0.06
"ERR1204862","ST11","0.12","S","Poland",53.12,23.16,2014,1,11,0.12
"ERR1204863","ST11","≤0.06","S","Poland",53.12,23.16,2013,12,28,0.06
"ERR1204864","ST258","16","R","Poland",53.12,23.16,2014,1,20,16
"ERR1204865","ST11","8","I","Poland",53.12,23.16,2013,12,31,8
"ERR1204866","ST3666",">32","R","Poland",52.4032,16.9354,2013,11,7,48
"ERR1204867","ST11","≤0.06","S","Poland",52.4032,16.9354,2014,1,20,0.06
"ERR1204868","ST11","≤0.06","S","Poland",52.4032,16.9354,2014,1,22,0.06
"ERR1204869","ST11","≤0.06","S","Poland",53.45,14.5,2014,1,28,0.06
"ERR1204870","ST3132","≤0.06","S","Poland",51.142,17.0661,2013,12,9,0.06
"ERR1204871","ST11","0.25","S","Poland",51.142,17.0661,2014,1,18,0.25
"ERR1204873","ST11","0.12","S","Poland",54.1195,22.9254,2014,1,25,0.12
"ERR1204875","ST307","≤0.06","S","France",48.8099009,2.3573942,2013,11,28,0.06
"ERR1204876","ST11","≤0.06","S","France",47.2267261,5.9637484,2013,11,4,0.06
"ERR1204877","ST3648","1","S","France",47.2267261,5.9637484,2013,11,20,1
"ERR1204878","ST3649","≤0.06","S","France",47.480965,-0.554562,2013,11,26,0.06
"ERR1204879","ST307","2","S","France",47.480965,-0.554562,2013,11,26,2
"ERR1204881","ST147","≤0.06","S","France",45.811741,1.23518,2014,2,22,0.06
